Period,Market Type,Min Trade,Max Trade,Avg Trade
2018-06,market_cap,294043013888,234001000000,354217000000
2018-06,volume_usd,14400274611,9483100000,20078700000
2018-07,market_cap,275050816293,243686000000,303694000000
2018-07,volume_usd,14448364711,8802420000,38010900000
2018-08,market_cap,226910066827,191110828365,279312923759
2018-08,volume_usd,12813368427,9172080368,16962387075
2018-09,market_cap,211149209166,186699167226,240084234594
2018-09,volume_usd,13618614885,9973192471,25253797933
